numero,data,nome,cnpj_ou_cpf,licitacao,num_licitacao,modalidade_licitacao,órgão,unidade_orçamentaria,funcao_orcamentaria,subfuncao_orcamentaria,programa,acao,natureza_despesa,fonte_do_recurso,valor_empenhado,valor_liquidado,valor_pago,valor_anulado,valor_saldo
321,2016-02-04,CLASSIC VIAGENS E TURISMO LTDA,00.448.994/0001-03,SIM,201042014,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2018 - Ações administrativas do Gabinete do Prefeito,339033,0 - Recursos Ordinários,2e5,63466.07,54055.1,NA,145944.9
322,2016-02-29, MARIA CLAUDIVERA SILVA - ME.,18.107.594/0001-08,SIM,212062015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2018 - Ações administrativas do Gabinete do Prefeito,339030,0 - Recursos Ordinários,3302.0,0.0,0.0,NA,3302.0
323,2016-02-19,ENERGISA BORBOREMA-DISTRIBUIDORA DE ENERGIA S/A,08.826.596/0001-95,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339039,0 - Recursos Ordinários,7330.19,7330.19,7330.19,NA,0.0
324,2016-02-29,COPY LINE COMÉRCIO E SERVIÇOS LTDA.,02.914.690/0001-10,SIM,203132013,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2090 - Secretaria de Planejamento,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2097 - Ações administrativas da SEPLAN,339039,0 - Recursos Ordinários,825.0,825.0,825.0,NA,0.0
325,2016-02-29,FUNDAÇÃO PARQUE TECNOLÓGICO DA PARAÍBA - PQATCPB,09.261.843/0001-16,SIM,209052013,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2090 - Secretaria de Planejamento,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2097 - Ações administrativas da SEPLAN,339092,0 - Recursos Ordinários,8745.0,8745.0,8745.0,NA,0.0
326,2016-02-19,CAGEPA-CIA DE AGUA E ESGOTO DA PARAÍBA,09.123.654/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339039,0 - Recursos Ordinários,109.16,109.16,0.0,NA,109.16
327,2016-02-29,ANAIRES CLEMENTINO DE MELO,***.025.824-**,SIM,201032015,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,8 - Assistência Social,244 - Assistência Comunitária,1022 - Fortalecimento das ações de promoção social,2013 - Ações da Coordenadoria políticas públicas para mulheres,339036,0 - Recursos Ordinários,10500.0,10500.0,10500.0,NA,0.0
328,2016-02-29,ALLAN EMPREENDIMENTOS IMOBILIÁRIOS LTDA,16.782.410/0001-71,SIM,201012015,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,122 - Administração Geral,1036 - Qualidade na Gestão Pública e Administrativa,2017 - Ações de manutenção da Guarda Municipal,339039,0 - Recursos Ordinários,1e4,1e4,1e4,NA,0.0
329,2016-02-26,SUPERINTENDENCIA DE ADMINISTRAÇÃO DO MEIO AMBIENTE - SUDEMA,08.329.849/0001-15,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2090 - Secretaria de Planejamento,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2097 - Ações administrativas da SEPLAN,339039,0 - Recursos Ordinários,6448.89,6448.89,6448.89,NA,0.0
331,2016-02-19,CAGEPA-CIA DE AGUA E ESGOTO DA PARAÍBA,09.123.654/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339039,0 - Recursos Ordinários,109.16,109.16,0.0,NA,109.16
332,2016-02-19,CAGEPA-CIA DE AGUA E ESGOTO DA PARAÍBA,09.123.654/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339039,0 - Recursos Ordinários,54.58,54.58,0.0,NA,54.58
333,2016-02-19,CAGEPA-CIA DE AGUA E ESGOTO DA PARAÍBA,09.123.654/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2040 - Procuradoria Geral do Município,14 - Direitos da Cidadania,"422 - Direitos Individuais, Colet. e Difusos",2001 - Apoio Administrativo,2034 - Serviços de proteção ao consumidor,339039,0 - Recursos Ordinários,109.16,109.16,0.0,NA,109.16
334,2016-02-19,CAGEPA-CIA DE AGUA E ESGOTO DA PARAÍBA,09.123.654/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2040 - Procuradoria Geral do Município,14 - Direitos da Cidadania,"422 - Direitos Individuais, Colet. e Difusos",2001 - Apoio Administrativo,2034 - Serviços de proteção ao consumidor,339039,0 - Recursos Ordinários,109.16,109.16,0.0,NA,109.16
335,2016-01-08,DELEGACIA DA RECEITA FEDERAL,00.394.460/0086-30,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,2 - Amortização e encargos da dívida pública,469077,0 - Recursos Ordinários,156407.01,156407.01,156407.01,NA,0.0
336,2016-02-19,CAGEPA-CIA DE AGUA E ESGOTO DA PARAÍBA,09.123.654/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339039,0 - Recursos Ordinários,182.44,182.44,0.0,NA,182.44
337,2016-02-16,CAGEPA-CIA DE AGUA E ESGOTO DA PARAÍBA,09.123.654/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2090 - Secretaria de Planejamento,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2097 - Ações administrativas da SEPLAN,339039,0 - Recursos Ordinários,274.04,274.04,0.0,NA,274.04
338,2016-02-17,ELETROLUZ COMÉRCIO DE MATERIAIS ELÉTRICOS LTDA - ME.,03.395.396/0001-01,SIM,214232014,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,452 - Serviços Urbanos,1029 - Infraestrutura Urbana - PROINFRA,2128 - Serviços gerais para manutenção de áreas públicas,339030,0 - Recursos Ordinários,1612.49,1612.49,1612.49,NA,0.0
340,2016-01-13,DELEGACIA DA RECEITA FEDERAL,00.394.460/0086-30,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2026 - Programa Formação Patrimônio Servidor Público PASEP,339047,0 - Recursos Ordinários,1260.71,1260.71,1260.71,NA,0.0
342,2016-02-29,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,84.5,84.5,84.5,NA,0.0
343,2016-02-29,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,15 - Transferência de Recursos do FNDE,33.8,33.8,33.8,NA,0.0
344,2016-02-01,TELEMAR NORTE LESTE S/A,33.000.118/0001-79,SIM,203132013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2050 - Secretaria de Assistência Social,11 - Trabalho,334 - Fomento ao Trabalho,1005 - Incentivo ao Desenvolvimento do Mercado de Trabalho,2035 - Ações de execução convênio SINE,339039,52 - Transferência de Convênios  Outros  Federal,199.53,199.53,199.53,NA,0.0
345,2016-02-29,BANCO BRADESCO S/A,60.746.948/3853-16,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2024 - Encargos gerais,339039,0 - Recursos Ordinários,4654.0,4654.0,4654.0,NA,0.0
346,2016-02-29,JET PRINT INFORMATICA LTDA,05.301.712/0001-64,SIM,260022013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339030,0 - Recursos Ordinários,28875.0,28875.0,28875.0,NA,0.0
347,2016-02-04,COPY LINE COMÉRCIO E SERVIÇOS LTDA.,02.914.690/0001-10,SIM,201022015,8-Dispensa por Valor,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2018 - Ações administrativas do Gabinete do Prefeito,339039,0 - Recursos Ordinários,2475.0,0.0,0.0,NA,0.0
348,2016-02-29,COPY LINE COMÉRCIO E SERVIÇOS LTDA.,02.914.690/0001-10,SIM,203132013,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2073 - Ações administrativas da SEDE,339092,0 - Recursos Ordinários,550.0,550.0,550.0,NA,0.0
349,2016-02-29,COPY LINE COMÉRCIO E SERVIÇOS LTDA.,02.914.690/0001-10,SIM,203132013,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2073 - Ações administrativas da SEDE,339039,0 - Recursos Ordinários,550.0,550.0,550.0,NA,0.0
350,2016-03-01,TICKET SERVIÇOS S/A,47.866.934/0001-74,SIM,203142013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,184582.77,184582.77,0.0,NA,184582.77
351,2016-02-01,MARIA SALOMÉ MARQUES PORTO,***.134.324-**,SIM,230012013,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339036,0 - Recursos Ordinários,3110.25,3110.25,3110.25,NA,0.0
352,2016-02-29,MARIA SALOMÉ MARQUES PORTO,***.134.324-**,SIM,230012013,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339036,0 - Recursos Ordinários,3110.25,3110.25,3110.25,NA,0.0
353,2016-02-25,Nortebor Borrachas Ltda-ME,97.519.657/0001-00,SIM,214022016,8-Dispensa por Valor,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,18 - Gestão Ambiental,452 - Serviços Urbanos,1031 - Limpeza Urbana e Manejo de Resíduos Sólidos,"2134 - Coleta, transporte e destino final de resíduos sólidos urbanos",339030,0 - Recursos Ordinários,6049.3,6049.3,6049.3,NA,0.0
354,2016-02-01,MARCOS JOSÉ DE ALMEIDA GAMA,***.748.604-**,SIM,203022013,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339036,0 - Recursos Ordinários,2188.07,2188.07,2188.07,NA,0.0
355,2016-02-29,MARCOS JOSÉ DE ALMEIDA GAMA,***.748.604-**,SIM,203022013,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339036,0 - Recursos Ordinários,2188.07,2188.07,2188.07,NA,0.0
356,2016-02-01,CERES DE FÁTIMA AMORIM DA SILVA,***.165.504-**,SIM,203052013,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339036,0 - Recursos Ordinários,800.0,800.0,800.0,NA,0.0
357,2016-02-29,CERES DE FÁTIMA AMORIM DA SILVA,***.165.504-**,SIM,203052013,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339036,0 - Recursos Ordinários,800.0,800.0,800.0,NA,0.0
358,2016-01-29,TRIBUNAL DE JUSTIÇA DO ESTADO DA PARAIBA-,09.283.185/0001-63,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,1 - Setenças judiciais e precatórios,339091,0 - Recursos Ordinários,1.0,1.0,1.0,NA,0.0
359,2016-01-29,TRIBUNAL DE JUSTIÇA DO ESTADO DA PARAIBA-,09.283.185/0001-63,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,1 - Setenças judiciais e precatórios,339091,0 - Recursos Ordinários,1.0,1.0,1.0,NA,0.0
360,2016-01-29,TRIBUNAL DE JUSTIÇA DO ESTADO DA PARAIBA-,09.283.185/0001-63,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,1 - Setenças judiciais e precatórios,339091,0 - Recursos Ordinários,1.0,1.0,1.0,NA,0.0
361,2016-03-02,FUNDAÇÃO ALBERTINA BRITO,09.071.016/0001-60,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,15e3,15e3,15e3,NA,0.0
362,2016-03-02,CLASSIC VIAGENS E TURISMO LTDA,00.448.994/0001-03,SIM,201052014,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2018 - Ações administrativas do Gabinete do Prefeito,339092,0 - Recursos Ordinários,29809.4,29809.4,29809.4,NA,0.0
363,2016-03-02,CLASSIC VIAGENS E TURISMO LTDA,00.448.994/0001-03,SIM,201052014,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2018 - Ações administrativas do Gabinete do Prefeito,339092,0 - Recursos Ordinários,28738.36,28738.36,28738.36,NA,0.0
364,2016-03-02,CLASSIC VIAGENS E TURISMO LTDA,00.448.994/0001-03,SIM,201052014,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2018 - Ações administrativas do Gabinete do Prefeito,339092,0 - Recursos Ordinários,29489.28,29489.28,29489.28,NA,0.0
365,2016-03-02,JOÃO RIBEIRO,***.585.704-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449061,0 - Recursos Ordinários,95e3,95e3,95e3,NA,0.0
366,2016-03-02,SET SOLUÇÕES EDUCACIONAIS E TECNOLOGIAS EIRELI -EPP.,16.841.931/0001-52,SIM,212032015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2120 - Secretaria de Cultura,13 - Cultura,392 - Difusão Cultural,1026 - Campina Cultural,2114 - Manutenção e modernização dos espaços públicos culturais,449052,0 - Recursos Ordinários,43900.0,43900.0,43900.0,NA,0.0
367,2016-03-02,OBJETIVA TECNOLOGIAS COMERCIAIS LTDA - ME.,10.775.421/0001-48,SIM,212132015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2120 - Secretaria de Cultura,13 - Cultura,392 - Difusão Cultural,1026 - Campina Cultural,2114 - Manutenção e modernização dos espaços públicos culturais,449052,0 - Recursos Ordinários,37284.5,37284.5,37284.5,NA,0.0
368,2016-03-02,EMANUEL CARVALHO DE ALMEIDA,***.866.044-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
369,2016-03-02,VLADIMIR CARVALHO DE ALMEIDA,***.819.234-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
370,2016-03-02,FABIANA CARVALHO ALMEIDA DE MEDEIROS,***.623.764-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
371,2016-03-02,ERIKA ALMEIDA COLLINS,***.607.204-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
372,2016-03-01,NORDESTE MÁQUINAS E SERVIÇOS LTDA -ME,03.919.466/0001-83,SIM,214532014,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,452 - Serviços Urbanos,1029 - Infraestrutura Urbana - PROINFRA,2128 - Serviços gerais para manutenção de áreas públicas,339039,0 - Recursos Ordinários,8800.0,8800.0,8800.0,NA,0.0
373,2016-03-01,NORDESTE MÁQUINAS E SERVIÇOS LTDA -ME,03.919.466/0001-83,SIM,214532014,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,452 - Serviços Urbanos,1029 - Infraestrutura Urbana - PROINFRA,2128 - Serviços gerais para manutenção de áreas públicas,339039,0 - Recursos Ordinários,1050.0,1050.0,1050.0,NA,0.0
374,2016-02-19,CAIXA ECONOMICA FEDERAL - CEF,00.360.305/0001-04,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2024 - Encargos gerais,339039,0 - Recursos Ordinários,3.26,3.26,3.26,NA,0.0
375,2016-03-02,WELL RENT A CAR LTDA EPP,40.976.334/0001-10,SIM,203052013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,38699.7,38699.7,38699.7,NA,0.0
376,2016-03-03,LOJÃO DO COLEGIAL PAPELARIA LTDA - EPP.,05.424.439/0001-65,SIM,201102015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2010 - Gabinete do Prefeito,4 - Administração,131 - Comunicação Social,1037 - Comunicação Institucional,2015 - Ações de manutenção do CODECOM,449052,0 - Recursos Ordinários,15589.4,15589.4,15589.4,NA,0.0
377,2016-03-02,WELL CAR COMISSÁRIA DE VEÍCULOS LTDA  EPP,02.502.673/0001-75,SIM,203062013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,50700.0,50700.0,50700.0,NA,0.0
378,2016-03-02,FLÁVIO HENRIQUE DE MIRANDA-ME-,02.212.119/0001-53,SIM,203042013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,44690.0,44690.0,44690.0,NA,0.0
379,2016-03-02,FLÁVIO HENRIQUE DE MIRANDA-ME-,02.212.119/0001-53,SIM,203032014,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,15900.0,15900.0,15900.0,NA,0.0
380,2016-03-02,WELL RENT A CAR LTDA EPP,40.976.334/0001-10,SIM,203052013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,5178.63,5178.63,5178.63,NA,0.0
381,2016-03-02,WELL CAR COMISSÁRIA DE VEÍCULOS LTDA  EPP,02.502.673/0001-75,SIM,203062013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,6784.47,6784.47,6784.47,NA,0.0
382,2016-02-29,CASSIANO PASCOAL MEDEIROS PEREIRA,***.780.814-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,"2100 - Secretaria de Ciência, Tecnologia e Inovação",4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2106 - Ações administrativas da SECTI,339014,0 - Recursos Ordinários,1627.2,1627.2,1627.2,NA,0.0
383,2016-03-02,FLÁVIO HENRIQUE DE MIRANDA-ME-,02.212.119/0001-53,SIM,203042013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,5980.23,5980.23,5980.23,NA,0.0
384,2016-02-29,CASSIANO PASCOAL MEDEIROS PEREIRA,***.780.814-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,"2100 - Secretaria de Ciência, Tecnologia e Inovação",4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2106 - Ações administrativas da SECTI,339014,0 - Recursos Ordinários,2169.6,2169.6,2169.6,NA,0.0
385,2016-03-02,CAIXA ECONOMICA FEDERAL - CEF,00.360.305/0001-04,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,23250.81,23250.81,23250.81,NA,0.0
387,2016-02-29,CASA DA CONSTRUÇÃO LTDA - EPP.,16.515.252/0001-93,SIM,214462014,6-Pregão,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,18 - Gestão Ambiental,452 - Serviços Urbanos,1031 - Limpeza Urbana e Manejo de Resíduos Sólidos,"2134 - Coleta, transporte e destino final de resíduos sólidos urbanos",339030,0 - Recursos Ordinários,20868.0,20868.0,20868.0,NA,0.0
388,2016-03-03,TELEMAR NORTE LESTE S/A,33.000.118/0001-79,SIM,203132013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339039,0 - Recursos Ordinários,13982.61,13982.61,13982.61,NA,0.0
389,2016-02-19,ENERGISA BORBOREMA-DISTRIBUIDORA DE ENERGIA S/A,08.826.596/0001-95,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,2131 - Manutenção e ampliação do sistema de iluminação pública,339039,0 - Recursos Ordinários,10200.06,10200.06,10200.06,NA,0.0
390,2016-02-19,ENERGISA BORBOREMA-DISTRIBUIDORA DE ENERGIA S/A,08.826.596/0001-95,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,2131 - Manutenção e ampliação do sistema de iluminação pública,339039,0 - Recursos Ordinários,4463.33,4463.33,4463.33,NA,0.0
391,2016-02-19,ENERGISA BORBOREMA-DISTRIBUIDORA DE ENERGIA S/A,08.826.596/0001-95,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,2131 - Manutenção e ampliação do sistema de iluminação pública,339039,0 - Recursos Ordinários,713257.73,713257.73,713257.73,NA,0.0
392,2016-02-19,ENERGISA BORBOREMA-DISTRIBUIDORA DE ENERGIA S/A,08.826.596/0001-95,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,2131 - Manutenção e ampliação do sistema de iluminação pública,339039,0 - Recursos Ordinários,123452.59,123452.59,123452.59,NA,0.0
393,2016-02-19,ENERGISA BORBOREMA-DISTRIBUIDORA DE ENERGIA S/A,08.826.596/0001-95,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,2131 - Manutenção e ampliação do sistema de iluminação pública,339039,0 - Recursos Ordinários,5919.63,5919.63,5919.63,NA,0.0
