"","NR_CONVENIO","ANO_CONVENIO","TX_SUBSITUACAO","NM_ORGAO_SUPERIOR","NM_MUNICIPIO_PROPONENTE","NM_PROGRAMA","DT_INICIO_VIGENCIA","DT_FIM_VIGENCIA","VL_GLOBAL","VL_REPASSE","TX_OBJETO_CONVENIO","IN_ADITIVO_SN","QT_ADITIVOS","cod7","funcao.imputada","TX_STATUS"
"335",803935,2014,"Convênio","Ministerio das Cidades","SANTA HELENA","2054 - Planejamento Urbano","31/10/2014","17/12/2016",3e+05,295300,"Implantação de Pavimentação em Paralelepípedo em Vias Públicas Urbanas no Município de Santa Helena ¿ pb.",1,1,2513307,"Urbanismo","Em andamento"
"336",790397,2013,"Convênio","Ministerio das Cidades","CAMPINA GRANDE","2054 - Planejamento Urbano","20/12/2013","31/12/2016",513645.83,493100,"Implantação de Pavimentação em Paralelepípedo em Ruas da Cidade de Campina Grande - pb.",1,1,2504009,"Urbanismo","Em andamento"
"337",790399,2013,"Convênio","Ministerio das Cidades","CAMPINA GRANDE","2054 - Planejamento Urbano","13/11/2013","30/01/2017",2259036.01,1976600,"Implantação de Pavimentação em Vias Urbanas na Cidade de Campina Grande - pb.",1,4,2504009,"Urbanismo","Em andamento"
"338",802826,2014,"Convênio","Ministerio da Saude","POCO DANTAS","Implanta??o de Melhorias Habitacionais Para Controle da Doen?a de Chagas","26/11/2014","26/11/2016",400405,4e+05,"Implantação de Melhorias Habitacionais Para o Controle de Doenças de Chagas no Município de Poço Dantas ¿ pb.",0,NA,2512036,"Saúde","Em andamento"
"339",791209,2013,"Convênio","Ministerio da Ciencia, Tecnologia e Inovacao","NATUBA","Apoio a Projetos de Inclus?o Digital","31/12/2013","30/06/2016",155850,150000,"Implementação de Cidade Digital no Município de Natuba/pb.",0,NA,2509909,"Ciência e Tecnologia","Em andamento"
"340",782515,2013,"Convênio","Ministerio das Cidades","SANTA CECILIA","Planejamento Urbano","25/06/2013","30/11/2016",654347.7,641450,"Elaboração de Projeto Executivo e Execução da Obra de Pavimentação em Paralelepipedo de Diversas Ruas.",1,2,2513158,"Urbanismo","Em andamento"
"341",798966,2013,"Convênio","Ministerio das Cidades","IMACULADA","2054 - Planejamento Urbano","31/12/2013","30/12/2016",7e+05,7e+05,"Implantação de Pavimentação no Município de Imaculada - pb",1,1,2506707,"Urbanismo","Em andamento"
"342",782530,2013,"Convênio","Ministerio das Cidades","RIACHO DOS CAVALOS","Planejamento Urbano","17/06/2013","30/11/2016",690900,690900,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Riacho dos Cavalos - pb.",1,2,2512804,"Urbanismo","Em andamento"
"343",789790,2013,"Convênio","Ministerio do Esporte","PATOS","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","26/11/2013","30/06/2016",2984700,2925000,"Construção de uma Vila Olímpica no Município de Patos-pb.",0,NA,2510808,"Desporto e Lazer","Em andamento"
"344",782558,2013,"Em Aditivação","Ministerio das Cidades","CURRAL VELHO","Planejamento Urbano","25/07/2013","01/06/2016",404006.04,394200,"Pavimentação e Drenagem em Diversas Ruas no Município de Curral Velho - pb.",1,3,2505303,"Urbanismo","Em andamento"
"345",782560,2013,"Convênio","Ministerio das Cidades","QUEIMADAS","Planejamento Urbano","26/12/2013","31/12/2016",592000,592000,"Pavimentação e Drenagem em Diversas Ruas no Bairro do Castanho, no Município de Queimadas - pb.",1,2,2512507,"Urbanismo","Em andamento"
"346",793959,2013,"Convênio","Ministerio do Turismo","PEDRA BRANCA","Programa de Apoio a Projetos de Infraestrutura Turística - Contrato de Repasse - Programação - Proposta Voluntária","31/12/2013","30/12/2016",5e+05,487500,"Apoio a Projeto de Infraestrutura Turística - Construção de Praça de Eventos.",1,1,2511004,"Comércio e Serviços","Em andamento"
"347",782571,2013,"Convênio","Ministerio das Cidades","INGA","Planejamento Urbano","18/12/2013","31/12/2016",315062.33,295300,"Elaboração de Projeto Executivo e Pavimentação em Paralelepípedo, no Município de Ingá-pb.",1,2,2506806,"Urbanismo","Em andamento"
"348",828605,2016,"Convênio","Ministerio das Cidades","SAO JOAO DO TIGRE","Planejamento Urbano","07/06/2016","31/07/2018",405500,405079,"Pavimentação e Drenagem em Diversas Vias Urbanas do Município de são João do Tigre - pb",0,NA,2514107,"Urbanismo","Em andamento"
"349",789897,2013,"Convênio","Ministerio do Esporte","CATURITE","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","13/11/2013","28/02/2017",3e+05,292500,"Reforma e Ampliação do Campo de Futebol",1,1,2504355,"Desporto e Lazer","Em andamento"
"350",782584,2013,"Convênio","Ministerio das Cidades","BREJO DOS SANTOS","Planejamento Urbano","13/08/2013","31/12/2016",493100,493100,"Implantação de Pavimentação de Vias Públicas em Brejo dos Santos ¿ pb",1,1,2502904,"Urbanismo","Em andamento"
"351",804278,2014,"Convênio","Ministerio das Cidades","COREMAS","2054 - Planejamento Urbano","22/09/2014","31/12/2016",246100,245850,"Pavimentação e Drenagem em Diversas Vias Urbanas do Centro da Cidade do Município de Coremas - pb.",1,1,2504801,"Urbanismo","Em andamento"
"352",802847,2014,"Convênio","Ministerio da Saude","CATINGUEIRA","Implanta??o de Melhorias Sanit?rias Domiciliares Para Preven??o e Controle de Doen?as e Agravos","13/11/2014","13/11/2016",430500,430000,"Implantação de Melhorias Sanitárias Domiciliares no Município de Catingueira-pb.",0,NA,2504207,"Saúde","Em andamento"
"353",804390,2014,"Convênio","Ministerio das Cidades","CACIMBA DE DENTRO","2054 - Planejamento Urbano","31/12/2014","31/12/2016",248308.5,245850,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Cacimba de Dentro- pb.",0,NA,2503506,"Urbanismo","Em andamento"
"354",802854,2014,"Convênio","Ministerio da Saude","SANTA HELENA","Implanta??o de Melhorias Habitacionais Para Controle da Doen?a de Chagas","09/12/2014","09/12/2016",400405,4e+05,"Implantação de Melhorias Habitacionais Para o Controle de Doenças de Chagas no Município de Santa Helena ¿ pb.",0,NA,2513307,"Saúde","Em andamento"
"355",802856,2014,"Convênio","Ministerio da Saude","BAIA DA TRAICAO","2068 - Saneamento B?sico (7656 - Saneamento Rural - ?reas Especiais)","31/12/2014","31/12/2016",306123,3e+05,"Melhoria do Sistema de Abastecimento de Água da Localidade Aldeia são Miguel, no Município de Baía da Traição-pb - Melhoria da Estação de Tratamento de Água.",0,NA,2501401,"Saúde","Em andamento"
"356",815686,2014,"Convênio","Ministerio da Saude","JOAO PESSOA","Atencao Especializada em Saude / Estruturacao de Unidade de Atencao Especializada em Saude - po 0000 / Acao 2015.8535 - Estruturacao de Unidades de Atencao Especializada em Saude / Convenio / Emenda Parlamentar","29/12/2014","09/11/2016",1e+05,1e+05,"Aquisição de Equipamento e Material Permanente Para Unidade de Atenção Especializada em Saúde",0,NA,2507507,"Saúde","Em andamento"
"357",803764,2014,"Convênio","Ministerio das Cidades","PIANCO","2054 - Planejamento Urbano","31/12/2014","31/12/2016",5e+05,493100,"Implantação de Pavimentação em Ruas no Município de Piancó ¿ pb.",0,NA,2511301,"Urbanismo","Em andamento"
"358",803873,2014,"Convênio","Ministerio das Cidades","SANTA INES","2054 - Planejamento Urbano","31/12/2014","31/12/2016",3e+05,295300,"Implantação de Pavimentação em Vias Públicas Urbanas",0,NA,2513356,"Urbanismo","Em andamento"
"359",816286,2015,"Convênio","Ministerio das Cidades","OLIVEDOS","Planejamento Urbano","25/06/2015","31/12/2016",503164,493100,"Pavimentação nas Ruas: Severino Antônio da Costa, José Limeira da Silva, Miguel Gonçalves Costa, Travessa Frei Ibiapina/princesa Isabel, José Silvino Dias e Severino Juarez da Silva, no Município de Olivedos - pb.",0,NA,2510501,"Urbanismo","Em andamento"
"360",816388,2015,"Convênio","Ministerio das Cidades","NAZAREZINHO","Planejamento Urbano","18/05/2015","31/12/2016",250000,245850,"Pavimentação e Drenagem em Diversas Ruas no Município de Nazarezinho - pb",0,NA,2510006,"Urbanismo","Em andamento"
"361",807004,2014,"Convênio","Ministerio do Esporte","AREIAL","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2014","31/12/2016",295425,292500,"2ª Etapa de Reforma do Campo de Futebol do Município de Areial/pb.",0,NA,2501203,"Desporto e Lazer","Em andamento"
"362",816201,2015,"Convênio","Ministerio das Cidades","PATOS","Planejamento Urbano","28/12/2015","31/12/2017",1500000,1482100,"Implantação de Pavimentação Asfáltica em Vias Públicas Urbanas no Município de Patos - pb.",0,NA,2510808,"Urbanismo","Em andamento"
"363",802882,2014,"Convênio","Ministerio da Saude","MALTA","Implanta??o de Melhorias Habitacionais Para Controle da Doen?a de Chagas","26/11/2014","26/11/2016",400500,4e+05,"Implantação de Melhorias Habitacionais Para o Controle de Doença de Chagas no Município de Malta - pb.",0,NA,2508802,"Saúde","Em andamento"
"364",806750,2014,"Convênio","Ministerio do Esporte","MONTEIRO","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","30/08/2014","31/12/2016",1952000,1950000,"Construção de Praça da Juventude",0,NA,2509701,"Desporto e Lazer","Em andamento"
"365",806755,2014,"Convênio","Ministerio do Esporte","CAAPORA","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","25/07/2014","31/12/2016",341591.59,341250,"Reforma do Estádio Frederico Lundgren, no Município de Caaporã - pb",1,1,2503001,"Desporto e Lazer","Em andamento"
"366",792884,2013,"Convênio","Ministerio da Justica","JOAO PESSOA","2070 - Segurança Pública com Cidadania - Prevenção à Violência e à Criminalidade - Nacional","27/12/2013","27/12/2016",3860586,3660698,"Implantar a Central de Vídeo Monitoramento no Município de João Pessoa- pb.",1,2,2507507,"Direitos da Cidadania","Em andamento"
"367",806757,2014,"Convênio","Ministerio do Esporte","SAO JOAO DO TIGRE","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2014","30/10/2016",250000,243750,"Construção de Quadra Poliesportiva no Município de são João do Tigre  - pb",1,1,2514107,"Desporto e Lazer","Em andamento"
"368",804331,2014,"Convênio","Ministerio das Cidades","CONCEICAO","2054 - Planejamento Urbano","31/12/2014","31/12/2016",498031,493100,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Conceição- pb",0,NA,2504405,"Urbanismo","Em andamento"
"369",803509,2014,"Convênio","Ministerio das Cidades","SOLANEA","2054 - Planejamento Urbano","04/03/2015","31/12/2016",592593,592000,"Pavimentação e Drenagem em Vias Urbanas do Município de Solânea-pb",0,NA,2516003,"Urbanismo","Em andamento"
"370",803806,2014,"Convênio","Ministerio das Cidades","CAMALAU","2054 - Planejamento Urbano","07/08/2014","31/12/2016",250000,245850,"Elaboração de Projeto Executivo e Pavimentação em Paralelepípedo no Município de Camalaú/pb",0,NA,2503902,"Urbanismo","Em andamento"
"371",806678,2014,"Convênio","Ministerio do Esporte","AGUA BRANCA","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","29/07/2014","30/12/2016",348215,341250,"Construção de 01 (uma) Quadra de Esportes",1,1,2500106,"Desporto e Lazer","Em andamento"
"372",804820,2014,"Convênio","Ministerio do Desenvolvimento Agrario","ALCANTIL","Aquisição de Máquinas e Equipamentos Para Adequação de Infraestrutura Produtiva Municipal ¿ no Estado da Paraíba","30/10/2014","30/12/2016",128750,125000,"Aquisição de Patrulha Mecanizada.",1,1,2500536,"Organização Agrária","Em andamento"
"373",828567,2016,"Convênio","Ministerio das Cidades","PEDRO REGIS","Planejamento Urbano","08/06/2016","31/12/2017",250000,245850,"Pavimentação e Drenagem de Diversas Ruas no Município de Pedro Régis - pb",0,NA,2512721,"Urbanismo","Em andamento"
"374",819532,2015,"Convênio","Ministerio das Cidades","CAMPO DE SANTANA","Planejamento Urbano","18/12/2015","31/12/2017",298253,295300,"Pavimentação em Vias Públicas Urbanas no Município de Campo de Santana.",0,NA,2516409,"Urbanismo","Em andamento"
"375",804822,2014,"Convênio","Ministerio do Desenvolvimento Agrario","CONGO","Aquisição de Máquinas e Equipamentos Para Adequação de Infraestrutura Produtiva Municipal ¿ no Estado da Paraíba","31/12/2014","17/08/2016",128750,125000,"Aquisição de Patrulha Mecanizada.",1,1,2504702,"Organização Agrária","Em andamento"
"376",816230,2015,"Convênio","Ministerio das Cidades","AGUIAR","Planejamento Urbano","22/04/2015","31/03/2017",295600,295300,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Aguiar - pb",0,NA,2500205,"Urbanismo","Em andamento"
"377",805274,2014,"Convênio","Ministerio das Cidades","SAO JOSE DOS CORDEIROS","2054 - Planejamento Urbano","31/10/2014","31/12/2016",246100,245850,"Elaboração de Projeto e Pavimentação de Diversas Ruas",0,NA,2514800,"Urbanismo","Em andamento"
"378",805275,2014,"Convênio","Ministerio das Cidades","SAO DOMINGOS DE POMBAL","2054 - Planejamento Urbano","31/12/2014","31/12/2016",246100,245850,"Elaboração de Projeto e Pavimentação em Paralelepípedo de Diversas Ruas",0,NA,2513968,"Urbanismo","Em andamento"
"379",792285,2013,"Convênio","Ministerio da Justica","JOAO PESSOA","2070 - Segurança Pública com Cidadania - Prevenção à Violência e à Criminalidade - Nacional","27/12/2013","27/12/2016",685146.19,655146.19,"Implantação Conjunta dos Projetos Mulheres da paz e Protejo na Cidade de João Pessoa - pb, Visando Selecionar e Capacitar Adolescentes e Jovens com Idade Entre 15 e 24 Anos, Expostos à Violência Doméstica E/ou Urbana e a Seleção e Capacitação de Mulheres",1,1,2507507,"Direitos da Cidadania","Em andamento"
"380",819429,2015,"Convênio","Ministerio das Cidades","ITAPORANGA","Planejamento Urbano","30/12/2015","31/12/2016",250000,245850,"Pavimentação e Drenagem de Diversas Ruas no Município de Itaporanga - pb",0,NA,2507002,"Urbanismo","Em andamento"
"381",819436,2015,"Convênio","Ministerio das Cidades","DAMIAO","Planejamento Urbano","18/12/2015","31/12/2017",248308.5,245850,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Damião- pb.",0,NA,2505352,"Urbanismo","Em andamento"
"382",816244,2015,"Convênio","Ministerio das Cidades","TRIUNFO","Planejamento Urbano","24/08/2015","31/12/2018",298253,295300,"Implantação de Pavimentação no Município de Triunfo.",0,NA,2516805,"Urbanismo","Em andamento"
"383",816248,2015,"Convênio","Ministerio das Cidades","SERRA GRANDE","Planejamento Urbano","05/05/2015","31/12/2018",298253,295300,"Implantação de Pavimentação no Município de Serra Grande-pb.",0,NA,2515708,"Urbanismo","Em andamento"
"384",805008,2014,"Convênio","Ministerio do Esporte","SAO JOSE DOS CORDEIROS","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","30/07/2014","31/12/2016",292800,292500,"Reforma e Ampliação do Campo de Futebol.",0,NA,2514800,"Desporto e Lazer","Em andamento"
"385",787949,2013,"Convênio","Ministerio da Saude","PICUI","2015 - Aperfeiçoamento do Sistema Único de Saúde - sus (3921 - Melhorias Habitacionais-chagas)","31/12/2013","30/12/2016",307000,3e+05,"Implantação de Melhorias Habitacionais Para Controle da Doença de Chagas no Município de Picuí - pb.",1,2,2511400,"Saúde","Em andamento"
"386",801383,2014,"Convênio","Ministerio das Cidades","BELEM DO BREJO DO CRUZ","2054 - Planejamento Urbano","13/03/2015","31/12/2016",997476,987600,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Belém do Brejo do Cruz- pb.",0,NA,2502003,"Urbanismo","Em andamento"
"387",805577,2014,"Em Ajuste do Plano de Trabalho","Ministerio das Cidades","CAMPO DE SANTANA","2054 - Planejamento Urbano","31/12/2014","31/12/2016",301400,295300,"Implantação de Pavimentação.",0,NA,2516409,"Urbanismo","Em andamento"
"388",805581,2014,"Convênio","Ministerio das Cidades","PIANCO","2054 - Planejamento Urbano","31/12/2014","31/12/2016",250000,245850,"Implantação de Pavimentação em Ruas no Município de Piancó ¿ pb",0,NA,2511301,"Urbanismo","Em andamento"
"389",788669,2013,"Convênio","Ministerio das Cidades","PAULISTA","2054 - Planejamento Urbano","21/11/2013","25/01/2017",394200,394200,"Pavimentação",1,2,2510907,"Urbanismo","Em andamento"
"390",830694,2016,"Convênio","Ministerio das Cidades","GUARABIRA","Planejamento Urbano","06/06/2016","31/12/2017",582000,578600,"Execução de Recapeamento Asfáltico em Área Urbana do Município de Guarabira - pb",0,NA,2506301,"Urbanismo","Em andamento"
"391",819454,2015,"Convênio","Ministerio das Cidades","LASTRO","Planejamento Urbano","31/12/2015","31/12/2017",388153.1,384310,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Lastro- pb.",0,NA,2508406,"Urbanismo","Em andamento"
"392",802816,2014,"Convênio","Ministerio da Saude","MULUNGU","Implanta??o de Melhorias Habitacionais Para Controle da Doen?a de Chagas","26/11/2014","26/11/2016",350400,350000,"Implantação de Melhorias Habitacionais Para o Controle da Doença de Chagas",0,NA,2509800,"Saúde","Em andamento"
"393",824313,2015,"Convênio","Ministerio da Saude","JURU","2015 - Aperfeiçoamento do Sistema Único de Saude - sus (3921 - Melhorias Habitacionais - Chagas)","31/12/2015","31/12/2018",440000,439500,"Reconstrução de Unidades Habitacionais no Programa de Melhoria Habitacional Para o Controle de Doença de Chagas no Município de Juru/pb.",0,NA,2508000,"Saúde","Em andamento"
"394",799887,2013,"Convênio","Ministerio das Cidades","BREJO DO CRUZ","2054 - Planejamento Urbano","31/12/2013","31/12/2016",765721.96,7e+05,"Elaboração de Projeto Executivo e Pavimentação com Drenagem no Município de Brejo do Cruz/pb",1,2,2502805,"Urbanismo","Em andamento"
"395",816272,2015,"Convênio","Ministerio das Cidades","ARARUNA","Planejamento Urbano","11/08/2015","31/07/2017",3010000,2965600,"Pavimentação de Vias em Araruna - pb",0,NA,2501005,"Urbanismo","Em andamento"
"396",820702,2015,"Convênio","Ministerio do Desenvolvimento Agrario","CATOLE DO ROCHA","Desenvolvimento Territorial - Infra-estrutura e Serviços","31/12/2015","31/12/2017",356400,350000,"Apoiar a Estruturação Produtiva de Empreendimentos Coletivos da Agricultura Familiar em Territórios Rurais e da Cidadania, a Partir da Aquisição e Instalação de Equipamentos, Máquinas e Implementos Necessários Para a Produção, ao Beneficiamento, ao Armaze",0,NA,2504306,"Organização Agrária","Em andamento"
"397",819462,2015,"Convênio","Ministerio das Cidades","MONTADAS","Planejamento Urbano","23/12/2015","31/12/2017",248308.5,245850,"Pavimentação em Vias Públicas Urbanas no Município de Montadas.",0,NA,2509503,"Urbanismo","Em andamento"
"398",829706,2016,"Convênio","Ministerio das Cidades","POMBAL","Planejamento Urbano","23/05/2016","31/07/2018",692000,690900,"Pavimentação Asfáltica",0,NA,2512101,"Urbanismo","Em andamento"
"399",784294,2013,"Convênio","Ministerio das Cidades","CONDADO","2054 - Planejamento Urbano","06/09/2013","30/12/2016",443650,443650,"Elaboração de Projeto Executivo e Pavimentação de Diversas Ruas no Município de Condado - pb.",1,1,2504504,"Urbanismo","Em andamento"
"400",805033,2014,"Convênio","Ministerio do Esporte","PEDRA BRANCA","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2014","31/12/2016",295000,292500,"Modernização e Ampliação de Ginásio",0,NA,2511004,"Desporto e Lazer","Em andamento"
"401",804581,2014,"Convênio","Ministerio do Turismo","CONDADO","Apoio a Projetos de Infraestrutura Turistica -contrato de Repasse - mp 637","12/09/2014","31/12/2016",250000,243750,"Pavimentação e Drenagem da rua Osório Queiroga de Assis",0,NA,2504504,"Comércio e Serviços","Em andamento"
"402",818876,2015,"Convênio","Ministerio da Integracao Nacional","PEDRA LAVRADA","2051 Oferta de ?gua - sih (emendas Individuais)","05/01/2016","27/06/2017",420200,4e+05,"Implantação de Sistema de Abastecimento de Água Através de Perfuração e Instalação de Poço nos Sítio Varzinhas, Sítio Malhada da Bezerra, Sítio Riacho do Tamanduá, Sítio boa Vista de são Gonçalo, Sítio Caldeirão 1, Sítio Alto do Chapéu, Sítio Cabeça de va",0,NA,2511103,"Urbanismo","Em andamento"
"403",819197,2015,"Convênio","Ministerio do Esporte","BANANEIRAS","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","17/12/2015","31/12/2017",250000,243750,"Implantação de Infraestrutura Esportiva no Município de Bananeiras - pb",0,NA,2501500,"Desporto e Lazer","Em andamento"
"404",805047,2014,"Convênio","Ministerio do Esporte","CAPIM","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2014","30/12/2016",298500,292500,"Construção de Campo de Futebol.",1,1,2504033,"Desporto e Lazer","Em andamento"
"405",805232,2014,"Convênio","Ministerio das Cidades","CATOLE DO ROCHA","2054 - Planejamento Urbano","31/12/2014","31/12/2016",250000,245850,"Implantação de Pavimentação em Vias Públicas Urbanas.",0,NA,2504306,"Urbanismo","Em andamento"
"406",799702,2013,"Convênio","Ministerio do Esporte","SOUSA","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2013","30/12/2016",250000,243750,"Implantação e Modernização de Infraestrutura Esportiva",1,1,2516201,"Desporto e Lazer","Em andamento"
"407",799798,2013,"Convênio","Ministerio das Cidades","AGUA BRANCA","2054 - Planejamento Urbano","31/12/2013","30/12/2016",755200,740000,"Pavimentação de Ruas em Diversas Localidades do Município de Água Branca - pb.",1,1,2500106,"Urbanismo","Em andamento"
"408",799803,2013,"Convênio","Ministerio das Cidades","TAPEROA","2054 - Planejamento Urbano","31/12/2013","30/03/2017",510205,5e+05,"Pavimentação de Ruas em Diversas Localidades do Município de Taperoá ¿ pb.",1,1,2516508,"Urbanismo","Em andamento"
"409",799912,2013,"Convênio","Ministerio das Cidades","VARZEA","2054 - Planejamento Urbano","31/12/2013","26/12/2016",740000,740000,"Implantação de Pavimentação no Município de Várzea ¿ pb.",1,1,2517100,"Urbanismo","Em andamento"
"410",799913,2013,"Convênio","Ministerio das Cidades","TAVARES","2054 - Planejamento Urbano","31/12/2013","30/12/2016",511065.71,5e+05,"Implantação de Pavimentação no Município de Tavares - pb",1,2,2516607,"Urbanismo","Em andamento"
"411",799914,2013,"Convênio","Ministerio das Cidades","TAVARES","2054 - Planejamento Urbano","31/12/2013","30/12/2016",500324.03,5e+05,"Implantação de Pavimentação no Município de Tavares - pb",1,2,2516607,"Urbanismo","Em andamento"
"412",790894,2013,"Convênio","Ministerio do Desenvolvimento Agrario","JUAZEIRINHO","Apoio ao Desenvolvimento Sustentável de Territórios Rurais - no Estado da Paraíba","04/04/2014","30/10/2016",208100,2e+05,"Patrulha Mecanizada",1,3,2507705,"Organização Agrária","Em andamento"
"413",799711,2013,"Convênio","Ministerio do Esporte","PEDRA BRANCA","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2013","30/12/2016",250000,243750,"Obras de Infraestrutura Esportiva",1,1,2511004,"Desporto e Lazer","Em andamento"
"414",818294,2015,"Convênio","Ministerio do Esporte","CAJAZEIRAS","Implantação do Programa Esporte e Lazer da Cidade (núcleos Urbanos)  - Edital 2013","31/12/2015","31/12/2017",807155.65,776096.45,"Implantação de 04 (quatro) Núcleos do Programa Esporte e Lazer na Cidade - Núcleo Urbano no Município de Cajazeiras/pb.",0,NA,2503704,"Desporto e Lazer","Em andamento"
"415",804968,2014,"Convênio","Ministerio do Esporte","CALDAS BRANDAO","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2014","30/12/2016",250000,243750,"Construção de Campo de Futebol em Caldas Brandão - pb",0,NA,2503803,"Desporto e Lazer","Em andamento"
"416",786383,2013,"Convênio","Ministerio das Cidades","SAO JOSE DO BONFIM","2054 - Planejamento Urbano","13/12/2013","30/12/2016",394200,394200,"Implantação de Pavimentação no Município de são José do Bonfim - pb.",1,1,2514602,"Urbanismo","Em andamento"
"417",787037,2013,"Convênio","Ministerio das Cidades","CABACEIRAS","2054 - Planejamento Urbano","23/12/2013","30/12/2016",5e+05,5e+05,"Pavimentação de Diversas Ruas no Município de Cabaceiras.",1,1,2503100,"Urbanismo","Em andamento"
"418",787038,2013,"Convênio","Ministerio das Cidades","ITATUBA","2054 - Planejamento Urbano","23/12/2013","31/12/2016",555425.62,5e+05,"Pavimentação em Paralelepípedo em Diversas Ruas do Município de Itatuba - pb.",1,2,2507200,"Urbanismo","Em andamento"
"419",799712,2013,"Convênio","Ministerio do Esporte","MOGEIRO","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2013","30/11/2016",407362.65,390000,"Obras de Infraestrutura Esportiva",1,2,2509404,"Desporto e Lazer","Em andamento"
"420",800516,2013,"Convênio","Ministerio das Cidades","ALHANDRA","2054 - Planejamento Urbano","31/12/2013","30/12/2016",3231205.58,3e+06,"1ª Etapa da Reabilitação Urbana do Bairro Nova Descoberta, no Município de Alhandra - pb, Compreendendo os Serviços de Terraplanagem, Fundação e Construção do Muro de Arrimo e Drenagem.",1,4,2500601,"Urbanismo","Em andamento"
"421",799935,2013,"Convênio","Ministerio das Cidades","MARI","2054 - Planejamento Urbano","31/12/2013","30/11/2016",5e+05,5e+05,"Pavimentação de Vias em Mari-pb",1,1,2509107,"Urbanismo","Em andamento"
"422",799936,2013,"Convênio","Ministerio das Cidades","ARARA","2054 - Planejamento Urbano","31/12/2013","30/11/2016",7e+05,7e+05,"Pavimentação e Drenagem em Diversas Ruas no Município de Arara - pb",1,2,2500908,"Urbanismo","Em andamento"
"423",805071,2014,"Convênio","Ministerio do Esporte","FREI MARTINHO","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2014","30/12/2016",298500,292500,"Revitalização de Estádio de Futebol em Frei Martinho - pb.",0,NA,2506202,"Desporto e Lazer","Em andamento"
"424",800424,2013,"Em Aditivação","Ministerio da Saude","TAVARES","Aten??o Especializada em Sa?de / Estrutura??o de Unidades de Aten??o Especializada em Sa?de ? A??o (2015.8535) Estrutura??o de Unidades de Aten??o Especializada em Sa?de / Contrato de Repasse / Or?amento Programa.","31/12/2013","30/12/2016",406605.18,3e+05,"Ampliação de Unidade de Atenção Especializada em Saúde",1,4,2516607,"Saúde","Em andamento"
"425",787687,2013,"Convênio","Ministerio das Cidades","SOSSEGO","2054 - Planejamento Urbano","23/10/2013","29/11/2017",6e+05,6e+05,"Pavimentação de Vias em Sossego-pb",1,1,2516151,"Urbanismo","Em andamento"
"426",799940,2013,"Convênio","Ministerio das Cidades","OURO VELHO","2054 - Planejamento Urbano","31/12/2013","31/12/2016",757074.94,720000,"Execução dos Serviços de Recapeamento Asfáltico em Diversas Vias Públicas do Município de Ouro Velho / pb.",1,3,2510600,"Urbanismo","Em andamento"
