NOME_PARLAMENTAR,Agricultura,Assistência Social,Ciência e Tecnologia,Comércio e Serviços,Cultura,Defesa Nacional,Desporto e Lazer,Direitos da Cidadania,Gestão Ambiental,Indústria,Organização Agrária,Outros,Saneamento,Saúde,Segurança Pública,Trabalho,Urbanismo
EDSON APARECIDO,0,0,0,0,0,0,0,0,0,0,0,0,78377.28,0,0,0,78377.28
EDSON EZEQUIEL,0,0,270628.41,0,0,0,27575,0,40000,40000,0,0,596705.66,0,0,0,636705.66
EDSON PIMENTA,0,0,0,156307.45,156307.45,0,0,0,0,0,0,49993.7,171950.44,253204.75,0,0,171950.44
EDSON SANTOS,0,0,0,42391.3,42391.3,0,46854.89,0,0,0,0,70000,0,0,0,0,0
EDSON SILVA,0,0,292445,75000,75000,0,0,0,292445,292445,0,0,0,0,0,0,292445
EDUARDO AMORIM,224213.83,34870,0,231667.02,231667.02,0,434585.54,0,0,0,34870,1500,225348.56,38000,0,0,225348.56
EDUARDO AZEREDO,30000,53492.78,0,0,0,0,0,0,0,0,50400,0,126056.06,0.75,0,0,126056.06
EDUARDO BARBOSA,30699,364537.21,0,0,0,0,87513.96,0,0,0,0,0,98231.43,0,0,0,98231.43
EDUARDO BOLSONARO,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0
EDUARDO BRAGA,0,0,0,0,0,811025.09,0,0,0,0,0,0,0,0,0,0,0
EDUARDO CUNHA,153765,0,0,0,0,0,252939,0,0,0,0,0,1157873.2,0,0,0,1157873.2
EDUARDO CURY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDUARDO DA FONTE,57930,0,0,0,0,0,2971361.38,0,0,0,0,0,123197.89,28000,0,0,123197.89
EDUARDO GOMES,38029.79,0,0,577645.01,577645.01,0,151200,0,0,0,0,45000,127812.31,0,0,0,127812.31
EDUARDO LOPES,0,0,0,0,0,0,430271,0,0,0,0,0,255958.69,0,0,0,255958.69
EDUARDO SCIARRA,796084.29,0,87000,0,93822.67,0,710917.99,0,0,0,0,1000,1039721.25,78921.59,0,0,1039721.25
EDUARDO SUPLICY,0,16447.08,0,0,25352.47,0,0,0,0,0,0,30000,718945.93,113692.06,0,0,718945.93
EFRAIM FILHO,62567.78,0,64050,8374.45,8374.45,0,21151.4,0,64050,64050,0,0,54888.38,20010,0,0,118938.38
ELCIONE BARBALHO,129400,0,0,128118.9,128118.9,0,7500,0,0,0,0,0,362371.1,27120,0,0,362371.1
ELEUSES PAIVA,0,26317.19,0,0,0,0,0,0,0,0,0,0,1032353.73,145757.42,0,0,1032353.73
ELI CORREA FILHO,14905.32,0,0,24375,24375,0,62127.98,112000,0,0,0,0,762443.77,0,112000,0,762443.77
ELIENE LIMA,321145,0,0,0,0,0,0,0,0,0,0,6123,2600472.38,0,0,0,2600472.38
ELISEU PADILHA,493396.81,0,0,0,0,0,81932.56,0,0,0,0,0,1857086.55,0,0,0,1857086.55
ELMANO FERRER,0,0,0,0,0,0,0,0,0,0,0,51189.92,0,0,0,0,0
ELMAR NASCIMENTO,0,0,0,10000,10000,0,32500,0,0,0,0,0,0,0,0,0,0
EMANUEL FERNANDES,0,0,0,69634.95,69634.95,0,351878.51,0,0,0,0,0,389319.66,60,0,0,389319.66
EMILIANO JOSE,0,0,0,0,0,0,6250,0,0,0,0,0,22589.82,6000,0,0,22589.82
ENIO BACCI,927690,0,0,6250,6250,0,141882.91,0,0,0,0,0,1126620.1,40842.2,0,0,1126620.1
ENIO VERRI,0,0,0,0,0,0,19645,0,0,0,0,0,140050,0,0,0,140050
EPITACIO CAFETEIRA,0,101315.81,0,75893,75893,0,0,0,0,0,101315.81,27165,102561.37,0,0,0,102561.37
ERIKA KOKAY,77054,0,0,0,0,0,54666,0,11111.11,0,0,195000,33489.2,0,0,0,33489.2
ERIVELTON SANTANA,26221.47,226430.5,0,259573.43,259573.43,0,7000,0,0,0,130890.2,10000,51898,3000,0,0,51898
EROS BIONDINI,0,0,0,0,0,0,21082.31,0,0,0,0,6e+05,208566.62,29259.2,0,0,208566.62
ESPERIDIAO AMIN,758128.4,163206.62,0,151767.53,151767.53,0,206699.62,0,0,0,0,0,1051875.07,595010.28,0,0,1051875.07
EUDES XAVIER,3003.13,70098.66,0,102836.64,102836.64,0,156115.71,0,0,0,70098.66,53583.07,192306.91,31601.08,0,0,192306.91
EUNICIO OLIVEIRA,35000,0,0,116895.33,116895.33,0,99739,0,0,0,0,265658.93,261472.23,47155.1,0,0,261472.23
EURICO JUNIOR,357.28,0,56980.9,10250,10250,0,183670.35,0,56980.9,56980.9,0,0,0,17630,0,0,56980.9
EVAIR DE MELO,0,0,0,19500,19500,0,0,0,0,0,0,0,0,0,0,0,0
EVANDRO GUSSI,0,0,0,18750,18750,0,0,0,0,0,0,0,0,0,0,0,0
EVANDRO MILHOMEN,15600,0,0,0,0,517656.67,0,239441.23,0,0,0,25372.55,0,0,239441.23,0,0
EVANDRO ROGERIO ROMAN,18500,0,0,0,0,0,60814.78,0,0,0,0,0,0,0,0,0,0
EXPEDITO NETTO,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0
EZEQUIEL FONSECA,34714.72,0,0,0,0,0,0,0,0,0,0,0,787000,0,0,0,787000
FABIANO HORTA,0,0,0,14481.23,14481.23,0,0,0,0,0,0,0,0,0,0,0,0
FABIO FARIA,121100,0,5000,0,0,0,67286.97,0,5000,5000,0,0,683302.68,0,0,0,688302.68
FABIO GARCIA,0,0,0,16664.7,16664.7,0,0,0,0,0,0,0,0,0,0,0,0
FABIO MITIDIERI,0,0,0,14800,72965,0,0,0,0,0,0,0,0,0,0,0,0
FABIO RAMALHO,446297.07,0,7590,37860.94,37860.94,0,0,117922.59,0,0,0,0,58013.3,3420,117922.59,0,58013.3
FABIO REIS,71180,40000,0,66438.98,66438.98,0,28750,0,0,0,40000,0,115244.11,0,0,0,115244.11
FABIO SOUSA,0,0,0,0,0,0,10000,0,0,0,0,0,14534.48,0,0,0,14534.48
FABIO SOUTO,0,0,0,34950,34950,0,108210,0,0,0,0,30000,539954.77,0,0,0,539954.77
FABIO TRAD,27250,0,0,0,0,0,54254.7,106000,0,0,0,0,2357350.5,7600,106000,0,2357350.5
FATIMA BEZERRA,99772.27,716,0,132875,132875,0,145288.57,0,0,0,716,0,174283.06,0,0,0,174283.06
FATIMA PELAES,0,40000,0,0,0,508965.23,37645.64,0,0,0,0,123333.34,0,0,0,0,0
FAUSTO PINATO,0,15000,0,2066,2066,0,30231.78,0,0,0,15000,0,0,328.8,0,0,0
FELIPE BORNIER,0,10000,0,0,0,0,520800.65,0,0,0,0,0,1352929.5,0,0,0,1352929.5
FELIPE MAIA,235368.35,0,0,123440.08,123440.08,0,34750,0,0,0,0,201,34066.41,0,0,0,34066.41
FELIX MENDONCA JUNIOR,0,14050,0,56250,56250,0,13459.18,0,0,0,10000,26400,251118.18,0,0,0,251118.18
FERNANDO AFFONSO COLLOR DE MELLO,473025,0,0,189711.57,189711.57,0,133000,0,0,0,0,127076.36,5138.18,0,0,0,5138.18
FERNANDO BEZERRA COELHO,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,2500
FERNANDO COELHO FILHO,0,0,0,35922,35922,0,17587.56,0,0,0,0,160105,123249.59,6117212.13,0,0,123249.59
FERNANDO FERRO,0,812.5,0,0,22750,0,0,0,0,0,812.5,10420,791774.4,16207,0,0,791774.4
FERNANDO FRANCISCHINI,112988,57111.06,0,0,0,0,8750,305243.45,0,0,0,0,630390.07,0,305243.45,0,630390.07
FERNANDO JORDAO,0,0,0,16505.9,16505.9,0,50192.64,0,0,0,0,0,879079.77,0,0,0,879079.77
FERNANDO LOPES,0,23131,0,0,0,0,0,0,0,0,0,0,14100,54950.68,0,0,14100
FERNANDO MARRONI,159842.52,82000,0,0,0,0,0,806190,0,0,82000,0,716042.99,0,806190,0,716042.99
FERNANDO MONTEIRO,0,0,0,13650,13650,0,0,0,0,0,0,0,0,0,0,0,0
FERNANDO TORRES,15000,6000,0,0,0,0,30228.27,0,0,0,0,0,1462982.33,0,0,0,1462982.33
FILIPE PEREIRA,0,0,0,52500,52500,0,0,0,0,0,0,80000,0,0,0,0,0
FLAVIA MORAIS,14750,7300,0,170900,170900,0,167955.69,0,0,0,0,102517,366623.32,0,0,0,366623.32
FLAVIANO MELO,2142.75,0,0,0,0,406991.5,613.62,0,0,0,0,16376.88,0,29.87,0,0,0
FLAVINHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLAVIO NOGUEIRA,430.91,0,0,125955.93,125955.93,0,0,0,0,0,0,0,0,0,0,0,0
FLEXA RIBEIRO,162427.5,40151.52,0,0,0,0,119166,284189,0,0,0,0,0,0,284189,0,0
FLORIANO PESARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRANCISCO ARAUJO,40000,0,0,0,0,71428.57,0,0,0,0,0,0,0,0,0,0,0
FRANCISCO CHAGAS,0,0,0,0,12701.01,0,0,69600,0,0,0,0,266087.5,0,69600,0,266087.5
FRANCISCO CHAPADINHA,0,0,0,15600,15600,0,78000,0,0,0,0,0,0,0,0,0,0
FRANCISCO DORNELLES,692316.53,0,0,0,0,0,0,0,0,0,0,70000,312544.52,0,0,0,312544.52
FRANCISCO ESCORCIO,157225,0,18000,107245,107245,0,18750,0,18000,18000,0,0,0,0,0,0,18000
FRANCISCO FLORIANO,0,0,0,2e+05,2e+05,0,154766.08,0,0,0,0,0,1196842.76,0,0,0,1196842.76
FRANCISCO PRACIANO,0,148567.58,0,0,0,0,272836.63,0,0,0,148567.58,0,0,15439.83,0,0,0
FRANCISCO TENORIO,0,1747.78,0,0,0,0,101400,0,0,0,1747.78,122602.04,125161.91,0,0,0,125161.91
GABRIEL CHALITA,0,0,0,0,0,0,8250.81,0,0,0,0,0,584514.75,59717.75,0,0,584514.75
GABRIEL GUIMARAES,0,53680.29,0,41344,41344,0,95119.32,0,0,0,53680.29,58746.44,145016.18,0,0,0,145016.18
GABRIEL GUMARAES,0,0,0,0,0,0,0,0,0,0,0,0,5250,164,0,0,5250
GARIBALDI ALVES,32445.99,0,0,381825.85,381825.85,0,14440,0,0,0,0,0,18880,0,0,0,18880
GARIBALDI ALVES FILHO,910.58,0,0,22650,22650,0,12500,0,0,0,0,0,20640,0,0,0,20640
GASTAO VIEIRA,0,0,0,400,400,0,37500,0,0,0,0,10000,20357.52,0,0,0,20357.52
GENECIAS NORONHA,52354.16,0,0,117664.76,117664.76,0,30000,0,0,0,0,18680.42,219542.68,0,0,0,219542.68
GEORGE HILTON,325564.04,0,5554.11,17500,17500,0,378872.29,0,5554.11,5554.11,0,5543,18573.95,0,0,0,24128.06
GERA ARRUDA,0,0,0,121540.18,121540.18,0,0,0,0,0,0,0,194118.62,213244.55,0,0,194118.62
GERALDO MAGELA,0,0,0,0,0,0,627650.8,0,0,0,0,111111.5,0,0,0,0,0
GERALDO RESENDE,919581.37,456144.83,0,500864.81,500864.81,0,236631.63,106000,0,0,0,0,1393936.18,1168328.16,106000,0,1393936.18
GERALDO SIMOES,0,0,0,0,0,0,74191.94,0,0,0,0,15000,284251.21,80000,0,0,284251.21
GERALDO THADEU,0,264471.98,0,218236.7,218236.7,0,889007.24,46093.49,0,0,264471.98,0,429465.02,18976.08,46093.49,0,429465.02
GIACOBO,579050.69,134141,0,0,0,0,256805.66,0,0,0,134141,0,796169.22,0,0,0,796169.22
GILBERTO NASCIMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
GILMAR MACHADO,0,106227,0,0,0,0,0,0,0,0,106227,0,20562.98,0,0,0,20562.98
GIM ARGELLO,0,0,0,0,0,0,0,293720.46,0,0,0,145203.55,499426.74,0,293720.46,0,499426.74
GIOVANI CHERINI,1862006.54,19962.4,0,115285.69,115285.69,0,381934.49,0,0,0,0,0,610259.95,32508,0,0,610259.95
GIOVANNI QUEIROZ,224466.82,0,0,13928.57,13928.57,0,7500,0,0,0,0,0,7382.5,188500,0,0,7382.5
GIROTO,472224.49,0,0,94486.96,94486.96,0,27900,0,0,0,0,0,1237010,0,0,0,1237010
GIUSEPPE VECCI,9360,0,0,6250,6250,0,6250,0,0,0,0,0,26559.38,0,0,0,26559.38
GIVALDO CARIMBAO,0,41827.89,218506.99,0,0,0,0,0,218506.99,218506.99,0,169394.66,0,0,0,0,218506.99
GIVALDO VIEIRA,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLADSON CAMELI,0,0,0,0,0,206107.54,0,0,0,0,0,3700,61100,0,0,0,61100
GLAUBER BRAGA,1050,0,301709.99,0,7000,0,112180.57,0,289709.99,289709.99,0,20000,127055.1,0,0,0,416765.09
GLEISI HOFFMANN,31993,42000,0,13644.63,13644.63,0,6250,0,0,0,42000,0,61905.78,0,0,0,61905.78
GONZAGA PATRIOTA,162974.02,9100,25300,25018.8,45018.8,0,40878.55,0,25300,25300,0,235166.52,1740251.81,30000,0,0,1765551.81
GORETE PEREIRA,40144.47,0,0,230692,230692,0,72505.59,0,0,0,0,50369.11,798870.78,81767.79,0,0,798870.78
GOULART,0,0,0,0,0,0,25000,0,0,0,0,0,20491.71,0,0,0,20491.71
GUILHERME CAMPOS,39600,179993.69,0,0,0,0,412417.05,49289.98,0,0,0,86000,1145472.08,4000,49289.98,0,1145472.08
GUILHERME MUSSI,158550,11763.53,0,182396.71,183406.81,0,192610.82,48500,0,0,0,0,1395582.36,200,48500,0,1395582.36
GUSTAVO PETTA,0,0,0,0,0,0,27500,0,0,0,0,0,0,0,0,0,0
HEITOR SCHUCH,104606.71,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,4000
HELCIO SILVA,0,0,0,0,0,0,0,0,0,0,0,0,6260,0,0,0,6260
HELDER SALOMAO,0,455.75,0,0,0,0,18450,0,0,0,0,0,4148.79,0,0,0,4148.79
HELENO SILVA,82979.26,5000,0,77500,77500,0,0,0,0,0,0,0,41150,0,0,0,41150
HELIO LEITE,0,28000,0,48493.85,60447.84,0,0,0,0,0,0,0,0,0,0,0,0
HELIO SANTOS,88636.77,3000,0,58805.79,58805.79,0,50000,0,0,0,2000,24000,86053.2,0,0,0,86053.2
HENRIQUE AFONSO,300,14984,0,0,38890,212453.11,47554.43,0,0,0,14984,0,16619,0,0,0,16619
HENRIQUE EDUARDO ALVES,424600.21,0,6000,212412.07,212412.07,0,159041.95,0,6000,6000,0,18004.16,275824.33,12813.22,0,0,281824.33
HENRIQUE FONTANA,0,287417.16,0,318643.69,320866.29,0,635408.65,3000,0,0,287417.16,21243.54,399927.09,2637.5,3000,0,399927.09
HENRIQUE OLIVEIRA,0,0,0,0,0,376698.05,0,0,0,0,0,0,0,0,0,0,0
HERCULANO PASSOS,0,0,0,0,0,0,365625,0,0,0,0,0,107130,0,0,0,107130
HERMES PARCIANELLO,3800,296185.02,0,75295.21,75506.53,0,26551.99,0,0,0,181071.26,0,222767.22,8877,0,0,222767.22
HEULER CRUVINEL,159213.75,0,0,34936.87,34936.87,0,160441.03,205748.4,0,0,0,0,432712.47,21918.98,205748.4,0,432712.47
HILDO ROCHA,0,0,0,1000,1000,0,8361.67,0,0,0,0,45212.46,0,0,0,0,0
HISSA ABRAHAO,0,0,0,68423.34,68423.34,0,0,0,0,0,0,0,0,0,0,0,0
HOMERO PEREIRA,327534.06,3000.03,0,82750,82750,0,0,0,0,0,0,0,0,0,0,0,0
HUGO LEAL,0,373206.7,0,67257.24,67257.24,0,227659.06,0,0,0,353650,1010.1,79090,6.9,0,64000,79090
HUGO MOTTA,31200,0,71075.46,55069.55,71069.55,0,84700,0,71075.46,71075.46,0,39676,90091.79,700,0,0,161167.25
HUGO NAPOLEAO,11938.78,0,0,0,0,0,25078,0,0,0,0,503180.31,23400,0,0,0,23400
HUMBERTO COSTA,0,0,0,6250,6250,0,875,0,0,0,0,71000,358551.5,6117212.13,0,0,358551.5
IARA BERNARDI,0,228969.32,0,0,0,0,0,0,0,0,160,30825.75,204923.1,0,0,0,204923.1
INACIO ARRUDA,0,12500,0,95878.05,99478.05,0,254996.76,0,0,0,0,155750,220866.17,2.5,0,0,220866.17
INDIO DA COSTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INOCENCIO OLIVEIRA,379166.67,0,0,344283.69,344283.69,0,193291.31,0,0,0,0,0,0,7.8,0,0,0
IRACEMA PORTELLA,497.75,0,0,0,0,0,31823.47,0,0,0,0,107295.28,66617.6,0,0,0,66617.6
IRAJA ABREU,270519.6,0,0,18970,18970,0,140802.42,0,0,0,0,0,152849.6,10129,0,0,152849.6
IRINY LOPES,958771.76,1052.39,0,33000,93000,0,74447.28,0,0,0,0,297000,155062,2869826.25,0,0,155062
IRIS DE ARAUJO,210032.5,2830,0,47934.78,47934.78,0,6500,0,0,0,0,14660,296737.02,33600,0,0,296737.02
IRMAO LAZARO,0,0,0,6250,6250,0,17200,0,0,0,0,0,8900,0,0,0,8900
IVAN VALENTE,0,0,0,0,15000,0,340819.99,0,0,0,0,75000,0,47864.12,0,0,0
IVO CASSOL,92965.8,0,0,0,0,665414.2,0,0,0,0,0,0,0,10005.04,0,0,0
IVONETE DANTAS,0,0,0,1000,1000,0,0,0,0,0,0,3810,36300,0,0,0,36300
IZALCI,0,0,5e+05,0,0,0,17866.17,159738.69,0,0,0,3000,0,0,159738.69,0,0
JADER BARBALHO,289211.91,0,0,52824.47,52824.47,0,154950.41,0,0,0,0,0,154952.79,0,0,0,154952.79
JAIME MARTINS,214165.86,0,5000,40191.04,40191.04,0,256938.05,0,5000,5000,0,0,285738.28,0,0,0,290738.28
JAIR BOLSONARO,0,0,21000,0,0,0,0,0,21000,21000,0,0,0,0,0,0,21000
JAIRO ATAIDE,41198.79,0,0,0,0,0,32500,0,0,0,0,0,70348,0,0,0,70348
JANDIRA FEGHALI,0,5959.6,379999.5,0,230605.4,0,0,0,0,0,0,266019.11,0,0,0,0,0
JANETE CAPIBERIBE,0,0,0,0,0,1497748.38,0,42000,0,0,0,20000,0,0,42000,0,0
JANETE ROCHA PIETA,0,45100,2700,7047.14,52105.78,0,851026.72,0,0,0,45100,14190.04,307137.71,50,0,0,307137.71
JANIO NATAL,0,0,0,35398.98,35398.98,0,56125,0,0,0,0,110000,130059.58,398210,0,0,130059.58
JAQUELINE RORIZ,0,401.25,0,0,0,0,0,33033.33,0,0,401.25,20409,635027.37,0,33033.33,0,635027.37
JARBAS VASCONCELOS,47931,0,0,410050.6,410050.6,0,0,41527.73,0,0,0,20000,156676.9,0,41527.73,0,156676.9
JAYME CAMPOS,0,16123.27,0,43514.36,43514.36,0,7500,0,0,0,16123.27,0,1518518.94,0,0,0,1518518.94
JEAN WYLLYS,0,0,0,0,0,0,0,0,0,0,0,106928,0,0,0,0,0
JEFFERSON CAMPOS,0,0,242014.79,70568.11,70568.11,0,252269.78,0,0,0,0,0,1137714.18,110.35,0,0,1137714.18
JERONIMO GOERGEN,920236.56,6682.57,0,124421.99,124421.99,0,14312.5,0,0,0,0,0,1786603.78,0,0,0,1786603.78
JESUS RODRIGUES,0,0,0,0,0,0,0,0,0,0,0,261659.97,1552673.56,0,0,0,1552673.56
JHC,0,0,0,0,0,0,27375,0,0,0,0,0,0,0,0,0,0
JHONATAN DE JESUS,0,0,0,39795.92,39795.92,194625.64,47619,0,0,0,0,40454.04,0,40837.65,0,0,0
JILMAR TATTO,0,0,0,0,0,0,0,0,0,0,0,0,558508.83,0,0,0,558508.83
JO MORAES,0,61040,0,0,0,0,732416.76,11262.76,0,0,29040,30779.41,100436.44,16909.72,11262.76,0,100436.44
JOAO ALBERTO SOUZA,57534.11,0,0,309522.94,309522.94,0,53650,0,0,0,0,0,0,0,0,0,0
JOAO ANANIAS,8700,11200,0,0,0,0,572098.88,0,0,0,11200,0,235593.7,2869893.84,0,0,235593.7
JOAO ARRUDA,320424.98,139139.63,0,180348.91,180348.91,0,475575.16,0,0,79450.55,133139.63,124406.8,816898.75,6000,0,0,816898.75
JOAO CAMPOS,34371,69585,0,500,500,0,0,1373465.53,0,0,8500,0,83531.29,12550,1373465.53,0,83531.29
JOAO CAPIBERIBE,288339,95862.01,0,0,0,210341.72,0,0,0,0,0,0,0,0,0,0,0
JOAO CARLOS BACELAR,25000,0,0,0,0,0,226891.2,0,0,0,0,321134.72,253227.29,99999.5,0,0,253227.29
JOAO DADO,0,205923,0,393885.53,393885.53,0,132978.25,0,0,0,12000,0,579634.85,2253.87,0,0,579634.85
JOAO DANIEL,0,0,22300,0,0,0,0,0,22300,22300,0,0,0,0,0,0,22300
JOAO DERLY,0,0,0,6250,6250,0,205470.36,0,0,0,0,0,17344.96,0,0,0,17344.96
JOAO DURVAL,180000,0,0,199415.28,199415.28,0,0,0,0,0,0,689467.42,1722481.24,137135,0,0,1722481.24
JOAO FERNANDO COUTINHO,0,0,0,0,0,0,13750,0,0,0,0,0,1850,0,0,0,1850
JOAO GUALBERTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOAO LEAO,0,21000,0,0,0,0,61954.78,0,0,0,21000,0,587157.37,0,0,0,587157.37
JOAO LYRA,0,0,0,208967.81,208967.81,0,0,0,0,0,0,52343.07,257892.31,0,0,0,257892.31
JOAO MAGALHAES,167204.78,0,120250.42,63978.15,63978.15,0,34849.24,0,120250.42,120250.42,0,0,136018.05,1,0,0,256268.47
JOAO MAIA,128188.9,0,0,6750,6750,0,29125,0,0,0,0,46940.15,421953.51,0,0,0,421953.51
JOAO PAULO CUNHA,0,0,0,472344.67,472344.67,0,359281.48,0,0,0,0,0,2160062.57,0,0,0,2160062.57
JOAO PAULO LIMA,0,0,0,175000,175000,0,0,0,0,0,0,418593,3291603.89,6117215.23,0,0,3291603.89
JOAO PIZZOLATTI,87114.39,271900.7,0,81659.61,81659.61,0,808000.67,0,0,0,211900.7,0,1641491.29,0,0,0,1641491.29
JOAO RIBEIRO,0,0,0,38750,38750,0,18350,0,0,0,0,0,328062.2,0,0,0,328062.2
JOAO RODRIGUES,199944,86851,0,76146.77,76146.77,0,517906.6,0,0,0,0,0,835487.3,7e+05,0,0,835487.3
JOAO VICENTE CLAUDINO,7539,0,0,0,0,0,780.78,0,0,0,0,274414.96,1552673.56,0,0,0,1552673.56
JOAQUIM BELTRAO SIQUEIRA,81250,0,0,81250.07,81250.07,0,29846.94,0,0,0,0,0,61754.17,0,0,0,61754.17
JOAQUIM PASSARINHO,25000,10000,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0
JONAS DONIZZETE,0,0,0,364129.6,364129.6,0,0,0,0,0,0,0,399016.78,0,0,0,399016.78
JORGE BITTAR,0,0,25642,0,0,0,42239.21,0,0,0,0,156449.31,0,0,0,0,0
JORGE BOEIRA,1624942.72,7524.46,0,539.84,539.84,0,200,0,0,0,0,0,445956.89,0,0,0,445956.89
JORGE CORTE REAL,0,0,0,94293,109293,0,157500,0,0,0,0,0,765101.23,6117212.13,0,0,765101.23
JORGE SOLLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JORGE TADEU MUDALEN,21000,22000,0,0,0,0,5606.27,0,0,0,2000,0,516219.06,225,0,0,516219.06
JORGE VIANA,0,136595.48,0,121875,131447.25,18009.46,638452.9,0,600,0,25089,30901.41,307878.45,0,0,90117.89,307878.45
JORGINHO MELLO,471909.16,23433.33,0,68685.8,68685.8,0,12577.66,0,0,6000,0,0,796482.71,0,0,0,796482.71
JOSE AGRIPINO,72133.7,0,0,96000,96000,0,75017.51,0,0,0,0,201,104071.83,0,0,0,104071.83
JOSE AIRTON,17500,0,0,159184.82,182891.82,0,0,0,0,0,0,535943.85,123149.54,0,0,0,123149.54
JOSE AIRTON CIRILO,0,0,4000,0,5865,0,10750,0,4000,4000,0,0,1710,0,0,0,5710
JOSE ANIBAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOSE AUGUSTO MAIA,0,9000,430000,30748,30748,0,12500,52543.32,430000,430000,0,0,4600,6117212.13,52543.32,0,434600
JOSE CARLOS ALELUIA,0,0,0,7500,7500,0,17550,0,0,0,0,0,0,1930000,0,0,0
JOSE CARLOS ARAUJO,107920,205500,0,75801.61,75801.61,0,243895,0,0,0,205500,0,122024.41,0,0,0,122024.41
JOSE CHAVES,107500,0,0,134242,134242,0,0,16000,0,0,0,0,1689967.3,6117212.13,16000,0,1689967.3
JOSE DE FILIPPI,36694,0,0,0,0,0,0,0,0,0,0,0,116456.81,52160,0,0,116456.81
JOSE FOGACA,38868.32,0,0,0,0,0,25820,0,0,0,0,0,63000,0,0,0,63000
JOSE GUIMARAES,0,0,0,374651.72,452706.12,0,214872.24,0,0,0,0,0,137500.18,14810.25,0,0,137500.18
JOSE HUMBERTO,909881.63,2000,250000,0,0,0,37066.95,81207.75,0,0,0,0,459525.52,0,81207.75,0,459525.52
JOSE LINHARES,43985.82,0,0,16640.41,16640.41,0,634421.84,0,0,0,0,200120.9,910791.22,0,0,0,910791.22
JOSE MAIA FILHO,0,0,0,0,0,0,0,0,0,0,0,1671.51,0,0,0,0,0
JOSE MARANHAO,0,0,0,13500,13500,0,0,0,0,0,0,0,8436.44,0,0,0,8436.44
JOSE MEDEIROS,24764.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOSE MENTOR,49550,0,37117.05,16250,26351.01,0,631979.8,0,15117.05,15117.05,0,25000,493300.34,98100,0,0,508417.39
JOSE NUNES,62980,153089,0,2000,2000,0,464985.64,0,0,0,153089,0,46093.11,0.1,0,0,46093.11
JOSE OTAVIO GERMANO,88825,0,0,274335.31,274335.31,0,206532.24,0,0,0,0,0,1131714.66,4.59,0,0,1131714.66
JOSE PIMENTEL,0,0,0,370376.17,370376.17,0,39795.92,0,0,0,0,0,0,105175.98,0,0,0
JOSE PRIANTE,129743.75,0,0,565637.81,586537.81,0,16000,0,0,0,0,204012.57,0,0,0,0,0
JOSE REINALDO,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0
JOSE ROCHA,0,47000,0,94319.1,94319.1,0,57750.04,0,0,0,47000,62145.34,100234.43,8523.8,0,0,100234.43
JOSE SARNEY,102079.7,0,0,0,0,226204.08,0,0,0,0,0,130199.96,0,0,0,0,0
JOSE SERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOSE STEDILE,350401.21,0,5500,0,0,0,269529.91,0,5500,5500,0,0,800214.82,0,0,0,805714.82
JOSI NUNES,7500,0,0,6292.79,6292.79,0,1180,0,0,0,0,0,16800,0,0,0,16800
JOSIAS GOMES,200834.39,227210,0,154000,154000,0,0,0,0,0,227210,20500,295585.26,2.01,0,0,295585.26
JOSUE BENGTSON,50750,0,0,0,0,0,0,0,0,0,0,175181.39,278177.79,0,0,0,278177.79
JOVAIR ARANTES,52176.6,16589.2,0,174974.81,174974.81,0,252750.8,0,0,0,0,0,663949.76,9320,0,0,663949.76
JULIA MARINHO,42000,0,0,6250,6250,0,0,0,0,0,0,0,7441.41,0,0,0,7441.41
JULIO CAMPOS,0,3000,0,166770.77,166770.77,0,61211.42,0,0,0,0,2e+05,924028.71,0,0,0,924028.71
JULIO CESAR,30755,0,0,70753.63,70753.63,0,46902.89,0,0,0,0,98292.35,78793.61,0,0,0,78793.61
JULIO DELGADO,41876.59,55365,2e+05,0,3024,0,113930.13,0,2e+05,2e+05,55365,42772.04,242630.28,19700,0,0,442630.28
JULIO LOPES,29600,0,0,0,0,0,0,0,0,0,0,0,164494.64,0,0,0,164494.64
JUNIOR COIMBRA,209900,0,0,506903.05,506903.05,0,58500,0,0,0,0,55500,131119.47,0,0,0,131119.47
JUNIOR MARRECA,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0
